course,year,review
sg_bi2,2016,"<p><p>Was mir an deinem Geschäftsmodell gefällt ist, dass du von vorhandenen
Kundenbedürfnissen (viele Logins beim Online-Shopping, Alternativsuche etc.)
ausgegangen bist und so eine Lösung erarbeitet hast. Ausserdem ist dein
Business Model Canvas klar und deutlich ausgefüllt und somit gut verständlich.
Ich möchte dir allerdings drei Änderungen vorschlagen. Im Revenue Stream würde
ich die Gewinnbeteiligung der Partner weglassen, da sie dadurch höhere Kosten hätten
und somit höhere Preise anschlagen müssten. Mein Vorschlag wäre, ähnlich wie
bei der Google-Suche, dass Partner gewisse Beträge zahlen können, um bei der
Alternativsuche (oder allgemeinen Suche) zuoberst in den Ergebnissen zu erscheinen.
Klassische Werbung können sie dann ebenfalls schalten. Zweitens fehlen bei der Cost
Structure während der Wachstumsphase die Marketingkosten, die meiner Meinung
nach nicht zu unterschätzen sind, sowie die Kosten der Rechtsabteilung, da
viele Verträge mit vielen Partnern abgeschlossen werden müssen. Zu guter Letzt
würde ich mich anfangs nur auf ein Kundensegment fokussieren. Wichtig ist, dass
möglichst viele (und bestenfalls alle) Partner eines Segments vertreten sind,
da die Suche sonst keine zufriedenstellenden Resultate liefern kann.</p><br></p>"
sg_bi2,2016,"<p>Insgesamt eine interessante Idee, die den durchaus löblichen Gedanken der Vereinfachung des Alltags für Personen mit altersbedingten Einschränkungen verfolgt. Ohne Frage ist die Entwicklung von Zusatzprodukten, um ältere Generationen von Innovationen nicht auszuschliessen eine relevante Frage und ein breites Feld für weitere Innovationen. Bei der vorliegenden Idee erschliesst sich mir rein aus der präsentierten Erklärung jedoch der Mehrwert gegenüber einem herkömmlichen Herd leider nicht in seiner Gänze. Die Beschreibung dieser Bedieneinheit müsste meines Erachtens dazu noch etwas weiter ausgeführt werden. Bei der Festlegung der Silver Society als Zielgruppe ist die Namenswahl der App-Variante als Super SimpleTech etwas schwer nachvollziehbar, wenn der Touchscreen auf dem Herd im genannten Beispiel schon eine Herausforderung für den Benutzer darstellt. Daraus ergibt sich m.E. auch eine gewisse Schwierigkeit in der Praktikabilitätsfrage, wenn der Zugang zu dieser Vereinfachung des Alltags nur über Website und App Store erfolgen soll.</p><p>Aus der genannten Auflistung der Key Partners ergibt sich die Frage nach der Eigenleistung des entwickelten Unternehmens. Werden die Bedienelemente/Apps selbst entwickelt und gebaut oder lediglich installiert? In der Dimension Key Partners scheint die gesamte Wertschöpfungskette von extern übernommen zu werden. Als Key Activity wird zwar Marketing genannt, jedoch wird bei Channels nicht darauf eingegangen, über welche Kanäle die Kunden potentiell noch erreicht werden sollen/können. Ausserdem ist die Frage, ob auch Aftersales-Aktivitäten zu den Kernaktivitäten gezählt werden sollten. Unter Key Resources bedarf es meiner Meinung nach der Nennung eines Appentwicklers, sofern dieser nicht in-house zur Verfügung steht. Bei Customer Segments erschliesst sich mir nicht ganz, weshalb Menschen, die unter Demenz leiden, von dieser Lösung profitieren können. Dies ist auch in dem Pitch leider nicht weiter erläutert und lässt sich in meinen Augen auch nicht unmittelbar aus dem Kontext herauslesen. In der Dimension Revenue Streams ist nicht ersichtlich, was der Mehrwert ist, für den der Kunde bereit ist zu zahlen. Ebenso sind leider keine Bezahlkanäle (Kreditkarte, PayPal, ö.ä.) genannt. Humankapital findet auf den ersten Blick keinen Eingang in die Dimension Cost Structures, ist jedoch meines Erachtens durchaus nennenswert. Alles in Allem eine interessante Idee mit etwas Bedarf nach einem höheren Detailgrad in der Ausarbeitung des Canvas.</p>"
sg_bi2,2016,"<p>Eine Stärke der Business Idee sehe ich in der Nachvollziehbarkeit der Value Proposition. Das heißt, die Idee löst ein allgemein bekanntes Problem von Frauen und Männern. Eine weitere Stärke sehe ich in dem Ansatz alles aus einer Hand zu liefern, indem Kalender, Wetter Daten und Sensoring-Daten gesammelt und verarbeitet werden, sowie zusätzlich In-App Käufe angeboten werden.</p><p>Ausbaupotenzial sehe ich ich Rahmen des Business Canvas vor allem bei dem Punkt  Cost Structure. Dieser ist sehr oberflächig und generisch. </p><p>Konkrete Vorschläge dazu</p><p>1) Beachte Kosten für den Access zum App-Store/ Google Store</p><p>2) Etwas detaiilierte Aufdröselung des Punktes App auf dem neusten Stand halten</p><p>3) Können noch weitere Kosten auftauchen? Marketing, Data-Storage Kosten...?</p><p><br /></p><p>Unklarheiten im Punkt Key Partners sehe ich bei zwei Punkten </p><p>1) Was hat z.B. der Schlafzyklus mit meiner Outfitwahl zu tun?</p><p>2) Wie wird sichergestellt, dass zu jedem gescannten Kleidungsstück auch ein Bild und weitere Informationen vorhanden sind? Welche Partner muss ich dazu ansprechen?</p><p><br /></p><p>Bei den Revenue Streams ist mir noch nicht ganz klar, wo außer bei den In-App Käufen der Umsatz herkommt. Heißt es keine oder kleine Zahlungsbereitschaft? Reichen die Zahlungen aus In-App Käufen aus um die Kosten zu decken...? Hier würde ich nochmal genauer auf mögliche Umsatzströme eingehen und gegebenenfalls erwähnen ob Sie die Kosten voraussichtlich decken.</p><p><br /></p>"
sg_bi2,2016,"<p>1) Stärken Wirklich eine tolle Idee. Vor allem, dass es nicht nur ein Browser-Add-On ist, der anzeigt, wo es günstiger ist. Sondern dass man die Produkte auch über LivePrice gebündelt alle kaufen kann, ohne dass man sich auf allen verschiedenen Online-Shops anmelden und seine Daten eingeben muss.</p><p>2) Schwächen Im BMC wird beschrieben, dass LivePrice die Produkte selbst packt und versendet. Dies würde aber bedeuten, dass LivePrice die Produkte zunächst bei dem Anbieter bestellt, der dieses am günstigen anbietet um es dann in ein Paket zu packen. Dann müsste der Kunde aber doppelt so lange auf sein Paket warten wie normalerweise. Wäre es nicht vielleicht sinnvoll, wenn die Kunden nur über LivePrice bestellen und die Ware dann letztendlich von dem anderen Shop direkt an den Kunden geschickt wird. Dadurch spart sich LivePrice das sehr mühsame Logistikgeschäft und kann dann lediglich eine Provisionsgebühr von den anderen Shops verlangen. Dadurch bleiben die Kosten auch in einem überschaubaren Rahmen.</p><p>3) Überarbeitungshinweise In der Version 2 würde ich wie in 2) beschrieben nochmals die Logistik überdenken. <br>Ausserdem würde ich nochmals darauf eingehen, was genaue die Vorteile einer Premium-Mitgliedschaft sind. Nur werbungsfrei oder noch mehr Vorteile? <br>Da heutzutage Geschäftsmodelle immer nutzerzentrierter sind, würde ich nochmals über das CRM nachdenken. Chatbots sind leider noch nicht so weit, dass sie völlig autonom die Kundenanfragen beantworten können. </p><p><br></p>"
sg_bi2,2016,"<p><p>1. Stärken</p>

<p>Bei EasyHealth handelt es sich um ein Geschäftsmodell, das
grösstenteils die Visionen des Well-Beings erfüllt. Es ist eine integrierte und
umfassende Lösung. Ich sehe die Stärken unter anderem in der Tatsache, dass der
Kommilitone gleichzeitig mehrere Trends (demografische Änderungen,
Individualisierung, aktiveres Gesundheitsbewusstsein) als Treiber aufgegriffen
hat und daraus sein Geschäftsmodell abgeleitet hat. </p>

<p>Des Weiteren ist klar ersichtlich, dass das Geschäftsmodell
aus der Konsumentensicht entwickelt wurde, da mit dem Geschäftsmodell
beabsichtigt wird, in erster Hand Komplexität für den Nutzer zu reduzieren. Insgesamt
gilt, dass Konsumenten die Lösungen bevorzugen, welche nicht nur bestimmte
Bedürfnisse befriedigen, sondern sie nicht mit Warten und Wiederholen von
Angaben belasten. Ich bin der Ansicht, dass der Kommilitone diesen zentralen
Punkt gut mitberücksichtigt hat und daraus eine interessante Lösung entwickelt
wurde.</p>

<p>Der Canvas ist strukturiert ausgearbeitet und wurde erfüllt
in diesem Fall durch und durch seinen Zweck Auf simple Art und Weise die
Bausteine eines Geschäftsmodells erklären. Insbesondere fand ich den Baustein
für die Key Partner gut gelungen, da dieser in drei Teilgruppen unterteilt wurde und die
Rolle jedes Partners kurz kommentiert wurde.</p>

<p> </p>

<p>2. Schwächen</p>

<p>Die meisten offenen Fragen, bzw. Schwachpunkte im
Geschäftsmodell sehe ich an kleinen, aber zentralen Details. Unter anderem
finde ich, dass bei der Benutzerfreundlichkeit noch Optimierungsbedarf besteht.
Einerseits ist es natürlich wesentlich simpler sich einmalig registrieren zu
müssen, andererseits aber hätte man noch ruhig einen Schritt weiter gehen
können und beispielsweise die Registrierung einfacher gestalten können, indem
man beispielsweise mit Versicherungen (gemäss Canvas ein KeyPartner, jedoch
Rolle im Text unerwähnt) arbeitet, die zumindest einen Teil der Daten des
Kunden bereitstellen. Der Nutzer müsste dann nichts weiter tun als die
Nutzungsbedingungen zu akzeptieren. In der Beschreibung wird erwähnt, dass der
Nutzer bei einer Änderung der Bedürfnisse sein Profil anpassen kann. Wäre es
nicht besser, wenn die Anwendung das <span stylefont-size 14.44px>Nutzerverhalten analysiert und dem Nutzer
Vorschläge bereitet, anstatt dass er sein Profil selber anpassen muss?</span></p>

<p><br></p><p>3. Überarbeitung der Lösung</p><p>Es wäre eine Überlegung, den Versicherungen eine
zentralere Rolle im Geschäftsmodell zu geben, dies würde für den Konsumenten und
die Versicherung evtl. noch mehr Nutzen stiften (niedrigere Prämien bei
gesundem Life-Style für Kunde, Einsparungen der Gesundheitskosten bei den Versicherungen).</p>

<p>Punkte, auf die im Canvas meiner Meinung nach hätten näher
eingegangen werden sollen, sind die Revenue Streams. Es ist nicht ganz klar,
wie EasyHealth Erträge generiert. Insbesondere liegt hier der Fokus auf der
Zahlungsbereitschaft. Die Begründung Hoher Nutzen durch well-being à Zahlungsbereitschaft
finde ich zu wenig ausgeführt. Bei der Überarbeitung der Lösung würde ich noch genauer auf diesen Punkt eingehen.</p><p><br></p><p>Zusammenfassend finde ich, dass der Kommilitone den Auftrag zufriedenstellend erfüllt hat, da er die wichtigsten Punkte von der Well-Being-Vision in sein Geschäftsmodell miteingebaut hat.</p>

<p> </p><br></p>"
sg_bi2,2016,"<p></p><p><b><span langen-us xmllangen-us>Feedback LE1 V1 Sport-nd-trip</span></b></p>

<p>Hallo SQ23</p>

<p>Hier das Feedback für deine Geschäftsmodell-Idee aus Aufgabe V1 der
Lerneinheit LE01</p>

<p><b><span langde xmllangde>1.     
</span></b><b><span langde xmllangde>So habe ich deinen Lösungsvorschlag verstanden</span></b></p>

<p><span langde xmllangde> </span><span stylefont-size14.44px>Es
handelt sich um einen Online-Service in Form einer Internetplattform zur Unterstützung
der Kunden im Rahmen der Reiseplanung. Speziell an der Geschäftsidee ist die
Kombination Urlaubsreisen mit Sportereignisse. Die Lösung bietet dem Kunden
alles aus einer Hand, indem sämtliche relevante Aspekte einer solchen Reise
verbunden werden von einer Auflistung möglicher Hotels und Flüge, bis hin zu
den jeweiligen Sportereignissen.</span></p>

<p><span langde xmllangde> </span><b stylefont-size14.44px><span langde xmllangde>2.     
</span></b><b stylefont-size14.44px><span langde xmllangde>Worin sehe ich die Stärken deiner Lösung</span></b></p>

<p><span langde xmllangde> </span><span stylefont-size14.44px>Die
Reise- und Urlaubsbranche nimmt in Zukunft tendenziell zu, vor allem Kurzstrecken-
und Städtereisen gewinnen an Popularität. Dies, in Verbindung mit Sportereignissen,
stellt einen noch völlig neuen, unerschlossenen Markt da. Bis dato mussten
Sportfans ihre Reisen mühselig selbst buchen. Mit dieser Lösung kann dies nun
schnell, effizient und kostenoptimiert stattfinden.</span></p>

<p><span langde xmllangde> </span><span stylefont-size14.44px>Die
</span><i stylefont-size14.44px>Key-Partners</i><span stylefont-size14.44px> und die </span><i stylefont-size14.44px>Key-Resources</i><span stylefont-size14.44px> sind gut und breit
definiert. Der Grundnutzen der App, sprich die </span><i stylefont-size14.44px>Value Proposition</i><span stylefont-size14.44px>, beschreibt die im ersten Teil der Aufgabe
geschilderte Geschäftsidee gut und ergänzt diese mit dem Kernnutzen (Gesamthafte
Convenience-Lösung für begeisterte Sport- und Reisefans in wenigen Minuten).
Auch die </span><i stylefont-size14.44px>Customer Relationships</i><span stylefont-size14.44px> und </span><i stylefont-size14.44px>Channels</i><span stylefont-size14.44px> scheinen durchdacht und gut
gewählt. Der definierten </span><i stylefont-size14.44px>Revenue Stream</i><span stylefont-size14.44px>
macht in Rahmen der Geschäftsidee definitiv Sinn. Die </span><i stylefont-size14.44px>Cost Structure</i><span stylefont-size14.44px> ist gut und ausführlich beschrieben.</span></p>

<p><span langde xmllangde> </span><b stylefont-size14.44px><span langde xmllangde>3.     
</span></b><b stylefont-size14.44px><span langde xmllangde>Worin sehe ich die Schwächen deiner Lösung</span></b></p>

<p><span langde xmllangde> </span><span stylefont-size14.44px>Die
</span><i stylefont-size14.44px>Key-Activities</i><span stylefont-size14.44px> sollten noch ergänzt
werden. Zu einem solchen Online-Portal gehören auch Aktivitäten wie die Entwicklung
der Software, die Verwaltung der Serverfarmen (falls dies in-house geplant ist)
und Vertragsoptimierungen mit den Reiseanbietern und Sportveranstalter (wie das
auch in der </span><i stylefont-size14.44px>Cost Structure</i><span stylefont-size14.44px> angedeutet
wird). Hier stellt sich die Frage Macht es Sinn die Verwaltung der Plattform
mit externen Partnern zu betreiben (s. </span><i stylefont-size14.44px>Key
Partners</i><span stylefont-size14.44px> Web- und App- Designer)? Unter Umständen kann die
Weiterentwicklung und Optimierung in-house günstiger gewährleistet werden.</span></p>

<p><span langde xmllangde> </span><span stylefont-size14.44px>Etwas
Food-for-Though Eine grosse Thematik die sich im Rahmen dieser Lösung eröffnet
ist die </span><i stylefont-size14.44px>Konkurrenzfähigkeit</i><span stylefont-size14.44px> der
Plattform. Was gibt der Plattform den anderen Reiseportalen gegenüber einen
Wettbewerbsvorteil? Könnten eBookers, weg.de oder ähnliche Anbieter nicht
relativ einfach in diesen Markt einsteigen?  Tipp Schau dir mal Sygic Travel an,
vielleicht kannst du Sport-nd-Trip in diese Richtung erweitern und mit Netzwerkeffekten ergänzen und dich somit
von den herkömmlichen Reiseportalen differenzieren.</span></p>

<p><span langde xmllangde> </span><b stylefont-size14.44px><span langde xmllangde>4.     
</span></b><b stylefont-size14.44px><span langde xmllangde>Worauf solltest du bei der Überarbeitung der Lösung achten</span></b></p>

<p><span langde xmllangde> </span><span stylefont-size14.44px>Achte
nur darauf, dass du die zwei oben beschriebenen Schwächen adressierst.
Insgesamt ist deine Idee originell und die Ausarbeitung top! (Tipp Lies die
Zusammenfassung mal laut vor, das könnte helfen ein paar undeutliche
Satzstellungen und Grammatikfehler zu verbessern)</span></p><br />"
sg_bi2,2016,"<p>Stärken deiner Lösung</p><p>Die Idee einer intelligenten News Co finde ich ziemlich gut. So wie ich es verstehe, ist es eine Art Facebook, bei welcher ein Newsfeed voll mit verschiedenen News generiert wird. Integriert in diese Plattform sind aber auch Social Networks wie LinkedIn und Händler wie Amazon.</p><p>Toll finde ich auch, dass die Partner, namentlich die verschiedenen Content Providers und Journalisten für den Inhalt verantwortlich sind, das heisst, dass du als Firma keinen richtigen Inhalt generierst und lediglich als Plattformanbieter fungierst. </p><p>Sehr gut aufgegriffen ist auch die Idee der Filteralgorithmen, auch wenn du das nicht so genau definiert hast. Deiner Idee zufolge muss der Abonnent eingeben, was er gerne lesen würde und je nach tatsächlich gelesenem Inhalt lernt der Algorithmus die Präferenzen des Abonnenten automatisch dazu. Denkbar wäre auch - damit man am Anfang nicht mit uninteressantem Zeug zugemüllt wird und dann abspringt - dass der Algorithmus die History on Google in Bezug auf Nachrichten scannt bzw. von Facebook die vom Abonnenten abonnierten Seiten und generierten Likes und Comments auf Nachrichten scannt und so bereits einiges über den Konsumenten lernt, bevor dieser überhaupt über seine Präferenzen Auskunft erteilt. </p><p>Vor allem auch die verkauften Daten über das Leserverhalten finde ich in Bezug auf die CP interessant, denn hier würde Big Data generiert, das aber sehr wichtige Infos bezüglich der Interessen der Leser im Allgemeinen gibt. Dies ist durchaus etwas, was du auf CP - Seite weiter ausbauen könntest und sogar weiter verkaufen könntest, zum Beispiel an Beratungen/Firmen, die diese Art von Analysen zum Trendfinding verwenden könnten. </p><p><br></p><p>Schwächen deiner Lösung</p><p>Du solltest erwähnen oder dir überlegen, wie der Newsfeed strukturiert würde. Generiert der Algorithmus das interessanteste zuerst? Oder wie passiert die Priorisierung im Newsfeed? </p><p>Wie geschieht das Pay per Article read? Muss ich den Contact dazu anklicken und werde weitergeleitet oder ist der gesamte Content einfach gepostet (nicht empfohlen)? Ist es eine Art advertising der Überschriften der Nachrichten wie ich sie sehe wenn ich meinen Browser öffne (nur eben intelligent) oder lässt sich der Artikel aufklappen und damit gilt es als read? </p><p>Dein grösstes Problem wird aber die Henne - Ei Problematik sein Wen kriegst du zuerst auf die Seite? Die Nachrichten die dann halt warten müssen bis du genügend Leute hast oder die Leute die sich dann über hinzukommende Zeitungen freuen? Was ist wenn du Zeitung XY noch nicht hast aber die Kunden natürlich stillschweigend gerade diese lesen? Wie weiss ich was in meinem Abo alles dabei ist und was nicht? Wie hoch ist der Anreiz bei wenigen Zeitungen tatsächlich dich dafür zu bezahlen, dass man vielleicht nur eine kleine Auswahl an Zeitungen lesen kann? Ich denke hier musst du eben vielleicht gratis anfangen und dich anfangs mithilfe von gratis-trials über Wasser halten, bzw. erst den Nachrichtendiensten diese Plattform anbieten und erst nach Ablauf der trial-Version bei den Kunden Geld zu verlangen ) </p><p>Du hast ausserdem die Personalkosten in deinem Cost structure vergessen. denn deine key activities müssen von jemandem gemacht werden, der dafür sicher Geld will... </p><p><br></p><p>Alles in einem tolle Idee, bin sogar bisschen neidisch ) </p><p><br></p><p><br></p>"
sg_bi2,2016,"<p>Die Idee finde ich super, nur ist dir Apple bereits einen Schritt voraus. Das bereits integrierte App News kommt mit dem neuen Betriebssystem auf das iPhone/iPad. Darin kann der interessierte Leser aus einer grossen Auswahl seine Lieblings-Medien auswählen und hat so eine Überblick über die News, welche er gerne liest und welche ihn interessieren. Auch News von Apple lernt vom Nutzerverhalten und sendet Push-Notifications auf dein Smartphone. Der meiste Content wird kostenlos zur Verfügung gestellt, bei Abonnements kann das Konto auf News übertragen werden. </p><p>Fraglich ist, wie hoch die Zahlungsbereitschaft ausfällt, wenn Apple es praktisch kostlos anbietet. Und ob die Mensch für einen Filter zahlen, ist unsicher. Vielleicht kannst du erläutern, was du mit schwierig zugänglichen Nachrichten meinst. Interessant wären hier zum Beispiel wissenschaftliche Artikel. Da wäre die Zahlungsbereitschaft sehr wahrscheinlich höher und die Informationen sind häufig auch schwieriger Zugänglich. </p><p>Im nächsten Schritt würde ich das Geschäftsmodell nochmals überdenken und ein Differenzierungsmerkmal gegenüber News von Apple ausbauen. Zum Beispiel finde ich die Integration von Amazon wirklich cool. Das hat Potenzial. </p>"
sg_bi2,2016,"<p><p>1. Die Stärken dieser Lösung sind aus meiner Sicht zum Einen dass über
ein Benutzerkonto und eine Rechnung/Gebühr verschiedene Zeitungen gelesen
werden können und zum Anderen dass die Lösung aus dem Nutzerverhalten lernt.
Auch die Verlinkung mit Social Media Angeboten finde ich eine gute Idee, vor
allem für die jüngeren Konsumenten (Generation X und Generation Y).</p>

<p>Die <i>Cost Structure</i> und die <i>Revenue Streams </i>finde ich gut durchdacht
und sind bei diesem Geschäftsmodell absolut sinnvoll. </p>

<p>  </p>

<p>2. Durch die Angabe von Präferenzen verschwindet meiner Meinung nach das
zufällige Lesen von Artikeln und den so erweiterten Horizont, da für den
Konsument auch Artikel spannend sein können, welche nicht durch seine
Präferenzliste abgedeckt werden. Eventuell wäre es eine Möglichkeit, Newsbanner
öder ähnliches auf der News Co. Website zu integrieren, damit die Konsumenten auch
neben ihren Präferenzen andere Nachrichten und Texte lesen können. </p>

<p>Für mich ist es fraglich, ob nach dem lesen eines Artikels über das neue
iPhone direkt ein solches über Amazon bestellt werden würde wie es in der
Freitextbeschreibung über das Geschäftsmodell beschrieben wird. Eine
Möglichkeit wäre aus meiner Sicht, eine Testphase mit diesem Amazon
One-Click-Buy zu starten um die Resonanz und das Konsumentenverhalten zu
evaluieren und nach dieser Testphase zu entscheiden, ob dieses Feature
weiterhin angeboten werden soll oder nicht.</p>

<p> </p>

<p>3. Bei der Überarbeitung sollte meiner Meinung nach noch mehr auf die
Anbieter der Nachrichten eingegangen werden. Vor allem wäre spannend zu
erfahren, wie diese ihren Content bereitstellen können und ob sie eventuell
auch die Präsentation ihres Content auf der News Co. Website beeinflussen
können. </p>

<p>Beim Business Model Canvas in der Kategorie <i>Channels</i> vermisse ich eine Spezifizierung der Kanäle über welche
die Leser Diskussionsmöglichkeiten bekommen und Verbesserungsvorschläge
einbringen können (zum Beispiel über Social Media, direkt auf News Co. usw.).
Eine solche Spezifizierung (in der Überarbeitung) wäre aus meiner Sicht
sinnvoll.</p><br></p>"
sg_bi2,2016,"<p><p><em>1.</em><em>) Worin sehen Sie die Stärken der
Lösung des Kommilitonen?</em></p>

<p><em>- Integrative Lösung, die dem User alle
möglichen Terminbuchungen einfach und jederzeit ermöglicht</em></p>

<p><em>- Die Lösung dient sicherlich dem Menschen
und generiert Nutzen. Well-Being-Ansatz wurde gut umgesetzt.</em></p>

<p><br>
<em>2.) Worin
sehen Sie Schwächen der Lösung des Kommilitonen und wie können diese
behoben werden?</em></p>

<p><em>- Die Lösung könnte dem User noch mehr
dienen, indem sie Reminder und Push Notifications versendet und ihn so an
Termine oder das Buchen von Terminen (z.B. jährliche Zahnkontrolle) erinnert.
Wurde wahrscheinlich schon so gedacht aber nicht explizit im Beschrieb erwähnt.</em></p>

<p><em>- Allgemein hat die Lösung 2 Kunden.
Einerseits die Dienstleister und andererseits die User, auch wenn diese keine
Gebühren zahlen. Dies sollte im gesamten Business Modell Canvas (besonders im
Customer Segments und Relationships sowie Value Proposition genauer definiert)</em><br>
<em>3.)
Worauf sollte in der Überarbeitung der Lösung geachtet werden? Geben Sie
hierbei konkrete Verbesserungsvorschläge.</em></p>

<p><em>- Die Value Proposition ähnelt meiner
Meinung nach momentan eher einem Produktbeschrieb. Hier sollte dein zentrales
Wertversprechen stehen (z.B. der erste Satz deines Beschriebs). Ebenfalls für User
und Dienstleister</em></p>

<p><em>- Bei Customer Relationships handelt es sich
um die Art und Weise, wie du deine Beziehungen zu den Kunden pflegst.
Beispielsweise persönlich, via Hotline oder online. Mit den Dienstleistern
sollte meiner Meinung nach eine engere Beziehung bestehen, da sie
schlussendlich die zahlenden Kunden sind und (wie du herausgearbeitet hast)
anspruchsvolleren Kunden sind, was Sonderwünsche angeht. </em></p>

<p><em>Im Revenue Stream solltest du beschreiben,
wie du Einkommen generieren möchtest. Hast du im Beschrieb angesprochen und
sollte noch weiter vertieft werden. Den Ansatz mit Grundgebühr finde ich sinnvoll,
wenn es darum geht zuoberst in der Finderliste zu stehen. Pay per booking ist
ein gutes System.</em></p>

<p> </p>

<p> </p><br></p>"
